ID,time_stamp,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorAmperage.U.Actual,Machine1.MotorRPM.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorAmperage.U.Actual,Machine2.MotorRPM.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.RawMaterialFeederParameter.U.Actual,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorAmperage.U.Actual,Machine3.MotorRPM.C.Actual,Machine3.MaterialPressure.U.Actual,Machine3.MaterialTemperature.U.Actual,Machine3.ExitZoneTemperature.C.Actual,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine4.ExitTemperature.U.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual,Machine5.ExitTemperature.U.Actual
1,06/03/2019 10:52,12,200,963,247,1241,72,72,48,10,437,76,75,13,236,601,257,201,69,69,73,14,247,69,60,9,186,421,200,204,78,78,337,14,264,65,65,298,284,21,268,21,260,35,310,290,264,239,245,66,50
2,06/03/2019 10:52,12,200,963,247,1246,72,72,48,10,437,76,75,13,236,601,257,220,69,69,73,14,246,69,60,9,186,421,200,213,78,78,342,14,263,65,65,301,287,23,270,23,263,35,310,290,264,239,245,66,50
3,06/03/2019 10:52,12,200,963,247,1246,72,72,48,10,425,76,75,13,236,601,257,217,69,69,73,14,247,69,60,9,186,421,200,225,78,78,339,14,263,65,65,304,289,22,275,22,266,35,310,290,264,239,245,66,49
4,06/03/2019 10:52,12,200,963,247,1248,72,72,49,10,437,76,75,13,236,601,257,209,69,69,73,14,250,69,60,9,186,421,200,214,78,78,339,14,262,65,65,307,291,23,277,23,269,35,310,290,264,239,245,66,50
5,06/03/2019 10:52,12,200,963,247,1253,72,72,49,10,425,76,75,13,236,601,257,212,69,69,73,14,251,69,60,9,186,421,200,201,78,78,337,14,262,65,65,310,294,24,278,24,272,35,310,290,264,239,245,66,50
6,06/03/2019 10:52,12,200,963,247,1263,72,72,49,10,435,76,75,13,236,601,257,224,69,69,73,14,247,69,60,9,186,421,200,209,78,78,350,14,261,65,65,317,299,22,280,22,275,35,310,290,264,239,245,66,49
7,06/03/2019 10:52,12,200,963,247,1306,72,72,49,10,435,76,75,13,236,601,257,210,69,69,73,14,245,69,60,9,186,421,200,223,78,78,346,14,261,65,65,317,299,22,282,22,278,35,310,290,264,239,245,66,50
8,06/03/2019 10:52,12,200,963,247,1296,72,72,50,10,440,76,75,13,236,601,257,210,69,69,73,14,249,69,60,9,186,421,200,220,78,78,352,13,261,65,65,321,302,25,284,25,283,35,310,290,264,239,245,66,49
9,06/03/2019 10:52,12,200,963,247,1251,72,72,49,10,423,76,75,13,236,601,257,201,69,69,73,14,250,69,60,9,186,421,200,211,78,78,333,14,261,65,65,327,308,25,286,25,285,36,310,290,264,239,245,66,49
10,06/03/2019 10:52,12,200,963,247,1202,72,72,50,11,432,76,75,13,236,601,257,212,69,69,73,14,244,69,60,9,186,421,200,221,78,78,340,14,261,65,65,327,308,25,288,25,288,36,310,290,264,239,245,66,49
